ted_id,title,buyer,category,is_it,estimated_value_eur,lots_with_value,deadline,portal,documents_url,has_selection_criteria_in_ted,ted_url
605314-2026,Werkplek- en netwerkbeheer,Collectie Overijssel,"IT services: consulting, software development, Internet and support",yes,450000,1,2026-11-06,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438010,no,https://ted.europa.eu/en/notice/-/detail/605314-2026
604872-2026,Glasvezeldienstverlening,Stichting Vonk,Telephone and data transmission services,yes,2800000,1,2026-10-27,none,,yes,https://ted.europa.eu/en/notice/-/detail/604872-2026
604724-2026,European Tender Learning Management System,Universiteit Twente,Software package and information systems,yes,2900000,1,2026-10-26,Mercell,https://s2c.mercell.com/today/229169,no,https://ted.europa.eu/en/notice/-/detail/604724-2026
604231-2026,Umbraco partner,Luchtverkeersleiding Nederland,"IT services: consulting, software development, Internet and support",yes,3000000,1,2026-10-19,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438160,no,https://ted.europa.eu/en/notice/-/detail/604231-2026
603742-2026,"Gambling Stop Functionality, Including Associated Services (August 2026)",Kansspelautoriteit,"IT services: consulting, software development, Internet and support",yes,,,2026-10-28,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438035,no,https://ted.europa.eu/en/notice/-/detail/603742-2026
603620-2026,Software reseller,Gemeente Altena,"IT services: consulting, software development, Internet and support",yes,,,2026-11-03,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438018,no,https://ted.europa.eu/en/notice/-/detail/603620-2026
602978-2026,Cameratoezicht gemeente Gouda,Gemeente Gouda,Security software development services,yes,,,2026-11-09,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/437994,no,https://ted.europa.eu/en/notice/-/detail/602978-2026
601844-2026,Cloudomgeving en MS licenties,Provincie Noord-Brabant,"IT services: consulting, software development, Internet and support",yes,,,2026-10-23,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/437820,no,https://ted.europa.eu/en/notice/-/detail/601844-2026
601699-2026,Meten en Weten BGT 2026 (gezamenlijke aanbesteding),Gemeente Moerdijk,Digital mapping services,no,,,2026-10-12,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/437967,no,https://ted.europa.eu/en/notice/-/detail/601699-2026
601147-2026,"Zaaksysteem voor Vergunningverlening, Toezicht en Handhaving",Provincie Gelderland,Document management software package,yes,1755000,1,2026-10-29,Mercell,https://s2c.mercell.com/today/228968,no,https://ted.europa.eu/en/notice/-/detail/601147-2026
600954-2026,Aanmelding voor Kwalificatie ICT,Technische Universiteit Eindhoven,"Business services: law, marketing, consulting, recruitment, printing and security",yes,,,,none,,yes,https://ted.europa.eu/en/notice/-/detail/600954-2026
598985-2026,Signaleringsysteem emitterende tankschepen,Ministerie van Infrastructuur en Waterstaat,Repair and maintenance services of gas-detection equipment,yes,3126172,3,2026-10-29,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/437795,no,https://ted.europa.eu/en/notice/-/detail/598985-2026
597439-2026,Bestuurlijk Informatiesysteem,Gemeente Alkmaar,"IT services: consulting, software development, Internet and support",yes,1725000,1,2026-10-02,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/437771,no,https://ted.europa.eu/en/notice/-/detail/597439-2026
